Fecha,cod_ine,provincia,Casos,Fallecidos,Hospitalizados,UCI,z_newCases
2020-04-10,39,Cantabria,63,9,7,0,-0.27208002033660267
2020-04-10,40,Segovia,74,10,11,0,0.2123597304137905
2020-04-10,41,Sevilla,70,9,17,2,-0.5598883605164752
2020-04-10,42,Soria,44,1,7,0,0.23075396325173886
2020-04-10,43,Tarragona,40,9,15,2,-0.384019497913087
2020-04-10,44,Teruel,5,7,2,1,-0.4364214155888599
2020-04-10,45,Toledo,58,16,47,2,-0.42014000749681857
2020-04-10,46,Valencia/València,100,16,53,1,-0.38997977451019766
2020-04-10,47,Valladolid,273,14,18,0,0.21341982518843833
2020-04-10,48,Bizkaia,204,19,44,2,-0.23609504273892054
2020-04-10,49,Zamora,11,2,5,1,-0.38083394521003067
2020-04-10,50,Zaragoza,73,22,36,4,-0.3666329153901259
2020-04-10,51,Ceuta,2,0,0,0,-0.37350484014933655
2020-04-11,0,No consta,70,7,12,0,0.3429555486012188
2020-04-11,1,Araba/Álava,24,6,6,0,-0.3781290800060017
2020-04-11,2,Albacete,47,11,22,1,-0.27362967986622144
2020-04-11,3,Alicante/Alacant,52,10,28,1,-0.39663509349146736
2020-04-11,4,Almería,5,1,0,0,-0.5678173710462053
2020-04-11,5,Ávila,39,2,9,0,-0.09631009957704555
2020-04-11,6,Badajoz,9,1,4,0,-0.4626644654399467
2020-04-11,7,Balears,16,5,13,0,-0.45430869079030317
2020-04-11,8,Barcelona,681,119,192,8,-0.3214885917690569
2020-04-11,9,Burgos,24,4,12,0,-0.3908018643082537
2020-04-11,10,Cáceres,12,6,4,0,-0.4249109341017672
2020-04-11,11,Cádiz,21,2,6,0,-0.5824368421373304
2020-04-11,12,Castellón/Castelló,24,9,7,1,-0.35673174591494755
2020-04-11,13,Ciudad Real,40,25,27,0,-0.37214385543494166
2020-04-11,14,Córdoba,18,4,6,1,-0.530884444283501
2020-04-11,15,A Coruña,54,9,12,0,-0.37817045176279346
2020-04-11,16,Cuenca,24,2,15,1,-0.31201629128701486
2020-04-11,17,Girona,61,10,18,0,-0.37968708751846003
2020-04-11,18,Granada,33,5,13,0,-0.5522200212869217
2020-04-11,19,Guadalajara,32,5,24,0,-0.3067663311550404
2020-04-11,20,Gipuzkoa,47,14,18,0,-0.4071475580613163
2020-04-11,21,Huelva,7,0,1,1,-0.5928275157827116
2020-04-11,22,Huesca,5,3,4,0,-0.4502965001935021
2020-04-11,23,Jaén,15,3,11,1,-0.5784832177476462
2020-04-11,24,León,60,14,26,0,-0.27784549088658933
2020-04-11,25,Lleida,24,3,2,0,-0.4522982213495103
2020-04-11,26,La Rioja,62,4,10,0,-0.22619577724505666
2020-04-11,27,Lugo,3,1,5,0,-0.4486034039767811
2020-04-11,28,Madrid,633,140,370,29,-0.4103772373158651
2020-04-11,29,Málaga,26,4,17,0,-0.6202912952742315
2020-04-11,30,Murcia,11,3,11,3,-0.42380067145592576
2020-04-11,31,Navarra,87,19,30,0,-0.31790452872653724
2020-04-11,32,Ourense,17,2,19,0,-0.38223532200948274
2020-04-11,33,Asturias,82,17,26,3,-0.3101554634091856
2020-04-11,34,Palencia,19,4,9,1,-0.3664170756397827
2020-04-11,35,Las Palmas,11,0,2,0,-0.4036375103684277
2020-04-11,36,Pontevedra,45,1,8,2,-0.3791843127824336
2020-04-11,37,Salamanca,68,9,17,1,-0.17691105279289474
2020-04-11,38,Santa Cruz de Tenerife,30,2,5,0,-0.3330612282434773
2020-04-11,39,Cantabria,24,4,12,0,-0.38287536211959367
2020-04-11,40,Segovia,9,7,1,1,-0.4134381946505548
2020-04-11,41,Sevilla,30,4,14,2,-0.639649885771525
2020-04-11,42,Soria,12,7,4,0,-0.3028910977732461
2020-04-11,43,Tarragona,19,7,9,0,-0.4187349547478922
2020-04-11,44,Teruel,12,4,0,0,-0.36665586766132463
2020-04-11,45,Toledo,63,14,29,2,-0.4058266131691012
2020-04-11,46,Valencia/València,70,21,23,5,-0.405250394591353
2020-04-11,47,Valladolid,118,22,16,0,-0.19580530824101916
2020-04-11,48,Bizkaia,81,22,28,2,-0.37647917557476857
2020-04-11,49,Zamora,16,4,2,0,-0.328160002622735
2020-04-11,50,Zaragoza,83,26,41,2,-0.3540812593294682
2020-04-11,51,Ceuta,0,0,0,0,-0.40761170095182025
2020-04-12,0,No consta,26,6,6,0,-0.38158780465623693
2020-04-12,1,Araba/Álava,7,3,2,0,-0.4485765189296112
2020-04-12,2,Albacete,24,3,13,4,-0.3798955735852666
2020-04-12,3,Alicante/Alacant,27,5,13,1,-0.4157758803709781
